participant_id,candidate_id,program_id,completion_status,score,feedback_rating
PTC00001,CND0001,PRG0255,Completed,96.0,4.8
PTC00002,CND0003,PRG0136,Completed,100.0,4.4
PTC00003,CND0004,PRG0166,Completed,83.1,4.8
PTC00004,CND0004,PRG0072,Completed,80.0,5.0
PTC00005,CND0004,PRG0103,Completed,86.0,5.0
PTC00006,CND0004,PRG0129,Completed,78.3,4.3
PTC00007,CND0004,PRG0070,In Progress,,3.6
PTC00008,CND0005,PRG0237,Completed,76.7,3.5
PTC00009,CND0005,PRG0094,Completed,87.6,3.9
PTC00010,CND0005,PRG0193,Completed,84.1,4.9
PTC00011,CND0005,PRG0224,In Progress,,4.1
PTC00012,CND0005,PRG0050,Dropped,,4.8
PTC00013,CND0006,PRG0200,Completed,90.7,4.3
PTC00014,CND0006,PRG0199,Completed,92.5,5.0
PTC00015,CND0007,PRG0211,In Progress,,3.9
PTC00016,CND0007,PRG0237,Completed,90.0,4.3
PTC00017,CND0007,PRG0015,In Progress,,4.5
PTC00018,CND0007,PRG0014,Completed,69.5,5.0
PTC00019,CND0008,PRG0029,Completed,89.8,4.4
PTC00020,CND0008,PRG0028,Completed,79.1,3.2
PTC00021,CND0008,PRG0030,Completed,81.5,4.1
PTC00022,CND0009,PRG0161,Completed,92.6,4.4
PTC00023,CND0009,PRG0159,Dropped,,4.1
PTC00024,CND0009,PRG0160,Completed,90.1,3.5
PTC00025,CND0010,PRG0209,In Progress,,4.2
PTC00026,CND0010,PRG0208,Completed,86.8,4.2
PTC00027,CND0011,PRG0147,Completed,69.2,4.6
PTC00028,CND0011,PRG0146,Completed,68.1,3.7
PTC00029,CND0012,PRG0087,Completed,87.2,4.7
PTC00030,CND0013,PRG0170,Completed,94.2,4.0
PTC00031,CND0013,PRG0032,Completed,76.5,4.2
PTC00032,CND0013,PRG0063,In Progress,,3.8
PTC00033,CND0013,PRG0028,Completed,80.7,3.6
PTC00034,CND0013,PRG0105,In Progress,,4.1
PTC00035,CND0014,PRG0182,Completed,86.5,4.3
PTC00036,CND0015,PRG0160,Completed,86.5,3.6
PTC00037,CND0015,PRG0004,Completed,88.4,4.4
PTC00038,CND0015,PRG0249,In Progress,,3.8
PTC00039,CND0015,PRG0103,Completed,92.7,4.1
PTC00040,CND0015,PRG0059,Completed,87.5,3.6
PTC00041,CND0016,PRG0054,Completed,93.1,4.9
PTC00042,CND0016,PRG0243,Completed,88.4,3.5
PTC00043,CND0016,PRG0013,Completed,98.3,3.5
PTC00044,CND0016,PRG0228,In Progress,,4.4
PTC00045,CND0016,PRG0201,In Progress,,3.7
PTC00046,CND0017,PRG0100,In Progress,,4.2
PTC00047,CND0018,PRG0225,Completed,85.3,4.9
PTC00048,CND0018,PRG0064,In Progress,,3.5
PTC00049,CND0018,PRG0222,Dropped,,4.6
PTC00050,CND0018,PRG0075,Completed,89.0,4.0
PTC00051,CND0018,PRG0012,Dropped,,5.0
PTC00052,CND0019,PRG0096,Completed,71.0,3.3
PTC00053,CND0019,PRG0098,Dropped,,5.0
PTC00054,CND0019,PRG0097,In Progress,,3.7
PTC00055,CND0020,PRG0026,Dropped,,3.4
PTC00056,CND0020,PRG0027,Completed,76.0,4.3
PTC00057,CND0021,PRG0214,Completed,75.0,4.2
PTC00058,CND0021,PRG0212,Completed,93.3,3.9
PTC00059,CND0021,PRG0213,Completed,81.8,3.5
PTC00060,CND0022,PRG0087,Completed,66.7,5.0
PTC00061,CND0022,PRG0086,Completed,87.6,4.6
PTC00062,CND0023,PRG0252,Completed,90.5,4.7
PTC00063,CND0024,PRG0075,Completed,84.8,4.1
PTC00064,CND0024,PRG0074,In Progress,,4.5
PTC00065,CND0025,PRG0257,Completed,73.3,3.6
PTC00066,CND0026,PRG0245,Completed,97.1,4.7
PTC00067,CND0026,PRG0244,Completed,76.0,3.2
PTC00068,CND0026,PRG0243,Completed,80.7,4.1
PTC00069,CND0027,PRG0017,Completed,83.6,3.6
PTC00070,CND0027,PRG0019,Completed,96.0,4.2
PTC00071,CND0027,PRG0018,Completed,76.2,4.2
PTC00072,CND0028,PRG0174,In Progress,,4.5
PTC00073,CND0028,PRG0236,Completed,69.0,4.9
PTC00074,CND0028,PRG0072,In Progress,,4.0
PTC00075,CND0028,PRG0143,Completed,79.2,4.7
PTC00076,CND0028,PRG0156,In Progress,,4.6
PTC00077,CND0029,PRG0093,Completed,75.0,3.7
PTC00078,CND0029,PRG0133,Completed,100.0,3.5
PTC00079,CND0029,PRG0067,Completed,85.1,4.6
PTC00080,CND0029,PRG0166,In Progress,,4.4
PTC00081,CND0030,PRG0201,Completed,82.4,4.1
PTC00082,CND0031,PRG0179,Dropped,,4.1
PTC00083,CND0031,PRG0178,Completed,100.0,3.7
PTC00084,CND0031,PRG0180,Dropped,,5.0
PTC00085,CND0032,PRG0166,In Progress,,4.4
PTC00086,CND0032,PRG0119,Completed,76.7,3.2
PTC00087,CND0032,PRG0122,In Progress,,4.5
PTC00088,CND0032,PRG0054,In Progress,,3.5
PTC00089,CND0033,PRG0045,In Progress,,3.8
PTC00090,CND0034,PRG0163,Completed,75.8,4.6
PTC00091,CND0035,PRG0059,In Progress,,4.9
PTC00092,CND0035,PRG0020,Completed,69.9,5.0
PTC00093,CND0035,PRG0038,In Progress,,4.5
PTC00094,CND0035,PRG0227,In Progress,,3.8
PTC00095,CND0036,PRG0003,Dropped,,4.2
PTC00096,CND0036,PRG0001,Completed,72.1,4.6
PTC00097,CND0037,PRG0027,Completed,74.6,4.9
PTC00098,CND0037,PRG0025,Completed,92.9,4.6
PTC00099,CND0038,PRG0203,Completed,82.7,4.7
PTC00100,CND0038,PRG0202,Dropped,,4.2
PTC00101,CND0039,PRG0102,Completed,94.3,4.3
PTC00102,CND0039,PRG0101,Completed,80.5,4.6
PTC00103,CND0041,PRG0142,Completed,91.6,3.1
PTC00104,CND0041,PRG0145,Completed,87.1,3.5
PTC00105,CND0042,PRG0003,Completed,60.5,3.9
PTC00106,CND0042,PRG0185,Dropped,,4.9
PTC00107,CND0042,PRG0209,In Progress,,4.5
PTC00108,CND0042,PRG0037,Completed,88.0,3.9
PTC00109,CND0042,PRG0175,Completed,79.6,3.5
PTC00110,CND0043,PRG0107,Completed,78.5,5.0
PTC00111,CND0043,PRG0243,Completed,79.0,3.8
PTC00112,CND0043,PRG0257,Completed,87.3,2.7
PTC00113,CND0043,PRG0181,Completed,82.6,4.0
PTC00114,CND0043,PRG0183,Completed,72.1,4.5
PTC00115,CND0044,PRG0244,Completed,82.5,4.4
PTC00116,CND0044,PRG0243,Completed,74.1,4.5
PTC00117,CND0044,PRG0245,Completed,69.2,3.6
PTC00118,CND0045,PRG0100,Completed,86.2,3.8
PTC00119,CND0046,PRG0209,Completed,81.4,3.8
PTC00120,CND0046,PRG0208,In Progress,,4.0
PTC00121,CND0047,PRG0149,In Progress,,4.3
PTC00122,CND0048,PRG0129,Completed,82.0,2.7
PTC00123,CND0048,PRG0200,In Progress,,4.8
PTC00124,CND0048,PRG0184,In Progress,,3.4
PTC00125,CND0049,PRG0099,In Progress,,4.1
PTC00126,CND0049,PRG0100,In Progress,,4.7
PTC00127,CND0051,PRG0075,Completed,89.6,4.7
PTC00128,CND0051,PRG0074,Completed,74.0,4.3
PTC00129,CND0052,PRG0042,Completed,70.8,3.6
PTC00130,CND0053,PRG0197,Completed,81.7,3.5
PTC00131,CND0053,PRG0198,Completed,81.6,4.9
PTC00132,CND0053,PRG0195,Completed,73.4,2.8
PTC00133,CND0054,PRG0031,Completed,77.6,3.8
PTC00134,CND0054,PRG0072,Completed,100.0,4.6
PTC00135,CND0054,PRG0105,In Progress,,3.9
PTC00136,CND0054,PRG0169,In Progress,,5.0
PTC00137,CND0054,PRG0032,Dropped,,3.8
PTC00138,CND0055,PRG0019,Completed,70.1,4.2
PTC00139,CND0055,PRG0178,Completed,82.9,5.0
PTC00140,CND0055,PRG0037,Completed,79.7,4.3
PTC00141,CND0055,PRG0214,Completed,84.4,3.9
PTC00142,CND0056,PRG0148,Completed,74.0,5.0
PTC00143,CND0057,PRG0076,Completed,88.8,4.9
PTC00144,CND0058,PRG0081,Completed,84.8,3.8
PTC00145,CND0059,PRG0115,Completed,92.0,3.7
PTC00146,CND0059,PRG0116,In Progress,,3.3
PTC00147,CND0060,PRG0251,Completed,97.0,5.0
PTC00148,CND0061,PRG0080,In Progress,,4.5
PTC00149,CND0061,PRG0082,In Progress,,5.0
PTC00150,CND0062,PRG0232,Completed,100.0,3.6
PTC00151,CND0062,PRG0231,In Progress,,3.0
PTC00152,CND0062,PRG0229,Dropped,,5.0
PTC00153,CND0062,PRG0230,Completed,71.0,4.1
PTC00154,CND0063,PRG0137,Completed,79.2,4.1
PTC00155,CND0063,PRG0136,In Progress,,4.4
PTC00156,CND0063,PRG0138,In Progress,,4.1
PTC00157,CND0064,PRG0189,Completed,98.1,4.4
PTC00158,CND0064,PRG0181,Completed,82.3,4.1
PTC00159,CND0064,PRG0100,Completed,81.1,4.7
PTC00160,CND0064,PRG0176,Completed,87.8,4.2
PTC00161,CND0065,PRG0221,In Progress,,3.3
PTC00162,CND0065,PRG0223,Completed,87.7,3.1
PTC00163,CND0065,PRG0220,Completed,89.5,4.4
PTC00164,CND0065,PRG0222,Completed,94.9,4.6
PTC00165,CND0066,PRG0124,Completed,79.9,3.7
PTC00166,CND0067,PRG0229,In Progress,,3.9
PTC00167,CND0067,PRG0230,Completed,70.9,4.4
PTC00168,CND0067,PRG0231,Completed,96.5,3.3
PTC00169,CND0067,PRG0232,Dropped,,3.5
PTC00170,CND0068,PRG0113,Completed,73.8,2.9
PTC00171,CND0069,PRG0106,Dropped,,4.9
PTC00172,CND0069,PRG0254,In Progress,,3.9
PTC00173,CND0069,PRG0183,In Progress,,4.3
PTC00174,CND0069,PRG0113,Completed,73.6,5.0
PTC00175,CND0069,PRG0228,Dropped,,4.0
PTC00176,CND0070,PRG0186,In Progress,,5.0
PTC00177,CND0071,PRG0164,In Progress,,5.0
PTC00178,CND0071,PRG0258,Dropped,,4.9
PTC00179,CND0071,PRG0054,Completed,75.5,4.8
PTC00180,CND0071,PRG0028,Completed,88.8,2.5
PTC00181,CND0071,PRG0178,Completed,90.0,3.9
PTC00182,CND0072,PRG0083,In Progress,,3.7
PTC00183,CND0073,PRG0119,Dropped,,4.9
PTC00184,CND0073,PRG0157,In Progress,,4.5
PTC00185,CND0073,PRG0108,Completed,79.7,3.6
PTC00186,CND0073,PRG0063,Completed,78.3,4.9
PTC00187,CND0073,PRG0191,Completed,100.0,5.0
PTC00188,CND0074,PRG0023,In Progress,,4.3
PTC00189,CND0075,PRG0150,Completed,64.3,4.5
PTC00190,CND0075,PRG0153,Completed,76.7,3.5
PTC00191,CND0075,PRG0154,Completed,53.3,4.2
PTC00192,CND0076,PRG0224,In Progress,,5.0
PTC00193,CND0076,PRG0228,Completed,72.0,4.4
PTC00194,CND0076,PRG0225,Completed,89.7,4.9
PTC00195,CND0077,PRG0218,Completed,72.2,3.7
PTC00196,CND0077,PRG0219,Completed,85.6,4.1
PTC00197,CND0078,PRG0193,Completed,76.7,4.2
PTC00198,CND0078,PRG0191,Completed,83.0,3.5
PTC00199,CND0078,PRG0192,Completed,64.4,3.6
PTC00200,CND0079,PRG0240,In Progress,,4.3
PTC00201,CND0080,PRG0166,In Progress,,4.3
PTC00202,CND0080,PRG0168,Completed,66.4,3.9
PTC00203,CND0081,PRG0135,Dropped,,3.4
PTC00204,CND0081,PRG0111,Completed,100.0,4.2
PTC00205,CND0081,PRG0015,In Progress,,4.4
PTC00206,CND0081,PRG0175,In Progress,,3.7
PTC00207,CND0082,PRG0135,In Progress,,4.0
PTC00208,CND0083,PRG0056,Completed,86.3,4.6
PTC00209,CND0083,PRG0199,Dropped,,4.3
PTC00210,CND0083,PRG0148,In Progress,,4.0
PTC00211,CND0083,PRG0238,Completed,73.7,4.3
PTC00212,CND0084,PRG0065,Dropped,,3.9
PTC00213,CND0084,PRG0063,In Progress,,5.0
PTC00214,CND0085,PRG0068,In Progress,,5.0
PTC00215,CND0085,PRG0008,In Progress,,4.2
PTC00216,CND0085,PRG0144,Completed,75.5,4.2
PTC00217,CND0086,PRG0199,Completed,77.2,3.6
PTC00218,CND0086,PRG0200,Completed,83.2,5.0
PTC00219,CND0087,PRG0011,In Progress,,4.4
PTC00220,CND0087,PRG0010,In Progress,,4.2
